arm_id,study_id,arm_label,is_nontraining_control_group,used_bfr,load_adjustments,progression,n,n_dropouts,proportion_male,age_m,age_sd,age_se,body_mass_m,body_mass_sd,body_mass_se,height_m,height_sd,height_se,bmi_m,bmi_sd,bmi_se,training_exp_m,training_exp_sd,training_exp_se
ishikawa2012a_hl,ishikawa2012a,HL,No,No,Yes,Yes,16,0,1,21.2,3.3,,81.4,8.9,,178.5,7.7,,,,,0,,
ishikawa2012a_ml,ishikawa2012a,ML,No,No,Yes,Yes,18,4,1,22.7,1.6,,80,7.2,,178.6,7.8,,,,,0,,
ishikawa2012a_ll,ishikawa2012a,LL,No,No,Yes,Yes,9,0,1,23.9,1.6,,77.2,9.8,,181.9,7.3,,,,,0,,
ishikawa2012a_con,ishikawa2012a,CON,Yes,No,,,15,0,1,22.9,2.5,,76.8,9.2,,177.1,7.1,,,,,0,,
zielinski2018a_fail,zielinski2018a,FAIL,No,No,Yes,Yes,18,1,0.63,22.3,2.1,,69,8.9,,170.9,5.4,,,,,0,,
zielinski2018a_rir3,zielinski2018a,RIR3,No,No,Yes,Yes,18,2,0.63,22.3,3.6,,69,11.6,,170.9,7.6,,,,,0,,
lindqvist2026a_2set,lindqvist2026a,2SET,No,No,Yes,Unclear,15,1,0,19.7,3.6,,60.4,11.3,,163,6.3,,,,,0,,
lindqvist2026a_5set,lindqvist2026a,5SET,No,No,Yes,Yes,21,3,0,23.7,2.8,,64.1,10.2,,166.8,6.1,,,,,0,,
jovanovic2026a_fail,jovanovic2026a,FAIL,No,No,Yes,Yes,9,1,1,24,3.8,,86.2,7.7,,176.2,5.1,,,,,1.9,1,
jovanovic2026a_rir3,jovanovic2026a,RIR3,No,No,Yes,Yes,10,2,1,24.3,2.4,,83.3,8.3,,176.6,5.9,,,,,5,1,
ekberg2013a_fail,ekberg2013a,FAIL,No,No,Yes,Yes,12,1,0.36,25.6,3.1,,74,10.5,,171.6,6.7,,,,,2.6,1,
ekberg2013a_rir3,ekberg2013a,RIR3,No,No,Yes,No,20,1,0.45,24.3,1.8,,68.6,8.6,,169.4,5.2,,,,,2.5,,
ekberg2013a_con,ekberg2013a,CON,Yes,No,,,15,1,0.6,23.8,3.8,,69.8,7.5,,166.5,7.3,,,,,4.6,,
iversen2023a_1set,iversen2023a,1SET,No,No,Yes,Yes,20,2,0.59,22.8,2.4,,69.9,9.3,,173.5,7,,,,,0,,
iversen2023a_2set,iversen2023a,2SET,No,No,Yes,Yes,18,3,0.62,25,3.6,,68,11.2,,170.4,6.5,,,,,0,,
iversen2023a_4set,iversen2023a,4SET,No,No,Yes,No,10,1,0.6,23.7,2.9,,66.5,8.4,,171.1,5.3,,,,,0,,
iversen2023a_6set,iversen2023a,6SET,No,No,Yes,Yes,13,2,0.64,23.7,2.7,,72.2,8.7,,172.3,5.6,,,,,0,,
iversen2023a_con,iversen2023a,CON,Yes,No,,,12,1,0.5,24.1,2.5,,74.1,9.1,,172.2,5.4,,,,,0,,
castellano2013a_fail,castellano2013a,FAIL,No,No,Yes,Yes,16,1,0.45,24.9,,,71.2,,2.7,172.6,,1.48,,,,0,,
castellano2013a_rir3,castellano2013a,RIR3,No,No,Yes,Yes,10,2,0.44,22.6,,,74.1,,2.61,172.5,,2.37,,,,0,,
oduya2021a_2set,oduya2021a,2SET,No,No,Yes,Yes,11,0,1,27.5,2.4,,82.7,11.4,,178,6.3,,,,,1.9,,
oduya2021a_5set,oduya2021a,5SET,No,No,Yes,Yes,14,0,1,24.2,1.6,,82.3,8.1,,178.1,6.2,,,,,2.1,1.4,
oduya2021a_con,oduya2021a,CON,Yes,No,,,14,2,1,20.2,1.5,,79.4,7.6,,177.3,6.4,,,,,3,1.4,
abernathy2017a_1set,abernathy2017a,1SET,No,No,Yes,No,20,2,1,23.6,3.9,,82,7,,176.6,6.5,,,,,5.2,1.4,
abernathy2017a_2set,abernathy2017a,2SET,No,No,Yes,Yes,15,2,1,20.8,3.9,,78.6,8,,177.9,6,,,,,4.4,,
abernathy2017a_4set,abernathy2017a,4SET,No,No,Yes,Yes,17,1,1,23.3,2.7,,79.5,11.8,,181.7,7.2,,,,,2.4,,
abernathy2017a_6set,abernathy2017a,6SET,No,No,Yes,Yes,11,2,1,23.4,3.1,,79,9.3,,181,5.5,,,,,5.9,1.7,
duarte2015a_2set,duarte2015a,2SET,No,No,Yes,Yes,8,1,0,18.7,4,,65.2,11.2,,165,6.2,,,,,0,,
duarte2015a_5set,duarte2015a,5SET,No,No,Yes,Yes,13,1,0,23,2.9,,60.7,10.1,,167.1,7.8,,,,,0,,
duarte2015a_con,duarte2015a,CON,Yes,No,,,13,4,0,26.8,1.9,,64.4,11.1,,164.4,7.5,,,,,0,,
delacroix2022a_hl,delacroix2022a,HL,No,No,Yes,Yes,15,,0.4,25,3,,69.3,10.4,,173,5.7,,,,,0,,
delacroix2022a_ml,delacroix2022a,ML,No,No,Yes,Yes,16,,0.36,22,2.6,,69.7,11,,170.4,5.5,,,,,0,,
delacroix2022a_ll,delacroix2022a,LL,No,No,Yes,No,12,,0.48,21.8,3.2,,68.3,11.3,,170.4,7.4,,,,,0,,
uribe2020a_hl,uribe2020a,HL,No,No,Yes,Yes,21,2,1,67,2,,77.2,11.9,,179.6,5.5,,,,,0,,
uribe2020a_ll,uribe2020a,LL,No,No,Yes,Yes,12,1,1,70.9,2.7,,85.7,10.2,,179,6.6,,,,,0,,
hartley2008a_fail,hartley2008a,FAIL,No,No,Yes,Yes,22,2,0,21.6,2.6,,64.3,9.8,,163.5,7.2,,,,,0,,
hartley2008a_rir3,hartley2008a,RIR3,No,No,Yes,Unclear,12,0,0,19,2.8,,62.3,10.2,,166.5,6.2,,,,,0,,
takeda2020a_2set,takeda2020a,2SET,No,No,Yes,Yes,13,3,1,25,2.2,,78.3,9,,179.7,6.9,,,,,5.9,1.6,
takeda2020a_5set,takeda2020a,5SET,No,No,Yes,Unclear,15,0,1,20.2,3.4,,81.3,7.2,,176.9,5.5,,,,,4.8,,
ishikawa2013a_f1,ishikawa2013a,F1,No,No,Yes,Yes,12,2,0,22.9,2.4,,65.4,10.2,,166.7,7.9,,,,,0,,
ishikawa2013a_f3,ishikawa2013a,F3,No,No,Yes,Yes,15,1,0,19.3,3.2,,59.6,10.8,,162.8,7.3,,,,,0,,
takeda2012a_fail,takeda2012a,FAIL,No,No,Yes,Yes,21,0,0,25.8,2.8,,56.4,10.3,,163.9,5.5,,,,,0,,
takeda2012a_rir3,takeda2012a,RIR3,No,No,Yes,Unclear,19,1,0,24.5,2.9,,66.4,9.2,,165.2,6.6,,,,,0,,
takeda2012a_con,takeda2012a,CON,Yes,No,,,15,2,0,21.4,2.5,,64.8,7.4,,165.2,5.4,,,,,0,,
delacroix2015a_hl,delacroix2015a,HL,No,No,Yes,Yes,16,1,0.46,22.6,2.4,,71.1,10.5,,174.4,5.7,,,,,1.7,,
delacroix2015a_ll,delacroix2015a,LL,No,No,Yes,Yes,21,1,0.43,22.7,2.3,,74.5,10.3,,170,7.1,,,,,5.1,,
delacroix2015a_con,delacroix2015a,CON,Yes,No,,,20,1,0.49,24.3,2.8,,72.7,7.8,,169,6.5,,,,,4.8,,
varga2020a_1set,varga2020a,1SET,No,No,Yes,No,20,,0,24.8,3.8,,65.5,7.3,,167.9,6.1,,,,,3.5,,
varga2020a_3set,varga2020a,3SET,No,No,Yes,Yes,8,,0,22.8,2.3,,62.6,7.7,,163.2,6.5,,,,,2.4,1.1,
varga2020a_5set,varga2020a,5SET,No,No,Yes,Yes,15,,0,27.1,3.6,,62,8.8,,167.3,7.5,,,,,4.1,,
varga2020a_con,varga2020a,CON,Yes,No,,,12,,0,27.9,1.7,,61.7,7.5,,162.7,6,,,,,2.9,,
delacroix2021a_hl,delacroix2021a,HL,No,No,Yes,Yes,20,,0,21.2,1.9,,64.8,10.7,,165,5.5,,,,,3.3,,
delacroix2021a_ll,delacroix2021a,LL,No,No,Yes,Unclear,20,,0,21.2,3.7,,64.8,7.7,,165,5.1,,,,,3.3,0.9,
uribe2005a_f1,uribe2005a,F1,No,No,Yes,Unclear,10,3,1,21.2,3.5,,80.6,11.6,,174.6,5.7,,,,,1.8,2.5,
uribe2005a_f3,uribe2005a,F3,No,No,Yes,Yes,21,1,1,22.2,3.7,,74.1,8.5,,174.9,5.2,,,,,4.2,,
