arm_id,week,testing_week_type,training_week_type
ishikawa2012a_hl,-1,Pre-Baseline,No Training
ishikawa2012a_hl,0,Baseline,No Training
ishikawa2012a_hl,1,No Testing,Training
ishikawa2012a_hl,2,No Testing,Training
ishikawa2012a_hl,3,No Testing,Training
ishikawa2012a_hl,4,No Testing,Training
ishikawa2012a_hl,5,No Testing,Training
ishikawa2012a_hl,6,No Testing,Training
ishikawa2012a_hl,7,No Testing,Training
ishikawa2012a_hl,8,No Testing,Training
ishikawa2012a_hl,9,No Testing,Training
ishikawa2012a_hl,10,No Testing,Training
ishikawa2012a_hl,11,No Testing,Training
ishikawa2012a_hl,12,No Testing,Training
ishikawa2012a_hl,13,No Testing,Training
ishikawa2012a_hl,14,No Testing,Training
ishikawa2012a_hl,15,Post-Intervention,No Training
ishikawa2012a_ml,-1,Pre-Baseline,No Training
ishikawa2012a_ml,0,Baseline,No Training
ishikawa2012a_ml,1,No Testing,Training
ishikawa2012a_ml,2,No Testing,Training
ishikawa2012a_ml,3,No Testing,Training
ishikawa2012a_ml,4,No Testing,Training
ishikawa2012a_ml,5,No Testing,Training
ishikawa2012a_ml,6,No Testing,Training
ishikawa2012a_ml,7,No Testing,Training
ishikawa2012a_ml,8,No Testing,Training
ishikawa2012a_ml,9,No Testing,Training
ishikawa2012a_ml,10,No Testing,Training
ishikawa2012a_ml,11,No Testing,Training
ishikawa2012a_ml,12,No Testing,Training
ishikawa2012a_ml,13,No Testing,Training
ishikawa2012a_ml,14,No Testing,Training
ishikawa2012a_ml,15,Post-Intervention,No Training
ishikawa2012a_ll,-1,Pre-Baseline,No Training
ishikawa2012a_ll,0,Baseline,No Training
ishikawa2012a_ll,1,No Testing,Training
ishikawa2012a_ll,2,No Testing,Training
ishikawa2012a_ll,3,No Testing,Training
ishikawa2012a_ll,4,No Testing,Training
ishikawa2012a_ll,5,No Testing,Training
ishikawa2012a_ll,6,No Testing,Training
ishikawa2012a_ll,7,No Testing,Training
ishikawa2012a_ll,8,No Testing,Training
ishikawa2012a_ll,9,No Testing,Training
ishikawa2012a_ll,10,No Testing,Training
ishikawa2012a_ll,11,No Testing,Training
ishikawa2012a_ll,12,No Testing,Training
ishikawa2012a_ll,13,No Testing,Training
ishikawa2012a_ll,14,No Testing,Training
ishikawa2012a_ll,15,Post-Intervention,No Training
ishikawa2012a_con,-1,Pre-Baseline,No Training
ishikawa2012a_con,0,Baseline,No Training
ishikawa2012a_con,1,No Testing,Non-Training Control
ishikawa2012a_con,2,No Testing,Non-Training Control
ishikawa2012a_con,3,No Testing,Non-Training Control
ishikawa2012a_con,4,No Testing,Non-Training Control
ishikawa2012a_con,5,No Testing,Non-Training Control
ishikawa2012a_con,6,No Testing,Non-Training Control
ishikawa2012a_con,7,No Testing,Non-Training Control
ishikawa2012a_con,8,No Testing,Non-Training Control
ishikawa2012a_con,9,No Testing,Non-Training Control
ishikawa2012a_con,10,No Testing,Non-Training Control
ishikawa2012a_con,11,No Testing,Non-Training Control
ishikawa2012a_con,12,No Testing,Non-Training Control
ishikawa2012a_con,13,No Testing,Non-Training Control
ishikawa2012a_con,14,No Testing,Non-Training Control
ishikawa2012a_con,15,Post-Intervention,No Training
zielinski2018a_fail,-3,No Testing,Standardized Training
zielinski2018a_fail,-2,No Testing,Standardized Training
zielinski2018a_fail,-1,No Testing,Standardized Training
zielinski2018a_fail,0,Baseline,No Training
zielinski2018a_fail,1,No Testing,Training
zielinski2018a_fail,2,No Testing,Training
zielinski2018a_fail,3,No Testing,Training
zielinski2018a_fail,4,No Testing,Training
zielinski2018a_fail,5,No Testing,Training
zielinski2018a_fail,6,No Testing,Training
zielinski2018a_fail,7,No Testing,Training
zielinski2018a_fail,8,No Testing,Training
zielinski2018a_fail,9,No Testing,Training
zielinski2018a_fail,10,Post-Intervention,No Training
zielinski2018a_rir3,-3,No Testing,Standardized Training
zielinski2018a_rir3,-2,No Testing,Standardized Training
zielinski2018a_rir3,-1,No Testing,Standardized Training
zielinski2018a_rir3,0,Baseline,No Training
zielinski2018a_rir3,1,No Testing,Training
zielinski2018a_rir3,2,No Testing,Training
zielinski2018a_rir3,3,No Testing,Training
zielinski2018a_rir3,4,No Testing,Training
zielinski2018a_rir3,5,No Testing,Training
zielinski2018a_rir3,6,No Testing,Training
zielinski2018a_rir3,7,No Testing,Training
zielinski2018a_rir3,8,No Testing,Training
zielinski2018a_rir3,9,No Testing,Training
zielinski2018a_rir3,10,Post-Intervention,No Training
lindqvist2026a_2set,0,Baseline,No Training
lindqvist2026a_2set,1,No Testing,Training
lindqvist2026a_2set,2,No Testing,Training
lindqvist2026a_2set,3,Mid-Intervention,Training
lindqvist2026a_2set,4,No Testing,Training
lindqvist2026a_2set,5,No Testing,Training
lindqvist2026a_2set,6,No Testing,Training
lindqvist2026a_2set,7,Post-Intervention,No Training
lindqvist2026a_5set,0,Baseline,No Training
lindqvist2026a_5set,1,No Testing,Training
lindqvist2026a_5set,2,No Testing,Training
lindqvist2026a_5set,3,Mid-Intervention,Training
lindqvist2026a_5set,4,No Testing,Training
lindqvist2026a_5set,5,No Testing,Training
lindqvist2026a_5set,6,No Testing,Training
lindqvist2026a_5set,7,Post-Intervention,No Training
jovanovic2026a_fail,0,Baseline,No Training
jovanovic2026a_fail,1,No Testing,Training
jovanovic2026a_fail,2,No Testing,Training
jovanovic2026a_fail,3,No Testing,Training
jovanovic2026a_fail,4,Mid-Intervention,Training
jovanovic2026a_fail,5,No Testing,Training
jovanovic2026a_fail,6,No Testing,Training
jovanovic2026a_fail,7,No Testing,Training
jovanovic2026a_fail,8,No Testing,Training
jovanovic2026a_fail,9,Post-Intervention,No Training
jovanovic2026a_rir3,0,Baseline,No Training
jovanovic2026a_rir3,1,No Testing,Training
jovanovic2026a_rir3,2,No Testing,Training
jovanovic2026a_rir3,3,No Testing,Training
jovanovic2026a_rir3,4,Mid-Intervention,Training
jovanovic2026a_rir3,5,No Testing,Training
jovanovic2026a_rir3,6,No Testing,Training
jovanovic2026a_rir3,7,No Testing,Training
jovanovic2026a_rir3,8,No Testing,Training
jovanovic2026a_rir3,9,Post-Intervention,No Training
ekberg2013a_fail,-1,Pre-Baseline,No Training
ekberg2013a_fail,0,Baseline,No Training
ekberg2013a_fail,1,No Testing,Training
ekberg2013a_fail,2,No Testing,Training
ekberg2013a_fail,3,No Testing,Training
ekberg2013a_fail,4,No Testing,Training
ekberg2013a_fail,5,No Testing,Training
ekberg2013a_fail,6,No Testing,Training
ekberg2013a_fail,7,No Testing,Training
ekberg2013a_fail,8,No Testing,Training
ekberg2013a_fail,9,No Testing,Training
ekberg2013a_fail,10,No Testing,Training
