arm_id,measure_id,week_high,week_low,n_diff,mean_diff,sd_diff,se_diff,ci_level_diff,ci_low_diff,ci_high_diff,t_value_diff,p_value_diff,flag_relative_difference,flag_standardized_difference
ishikawa2012a_hl,ishikawa2012a_m01,15,0,16,475.65,,,,,,,0.06,No,No
ishikawa2012a_hl,ishikawa2012a_m02,15,0,16,1.06,1.62,,,,,,,No,No
ishikawa2012a_hl,ishikawa2012a_m03,15,0,16,9.05,,,95,6.29,11.81,,,No,No
ishikawa2012a_hl,ishikawa2012a_m04,15,0,16,2.46,3.81,,,,,,,No,No
ishikawa2012a_hl,ishikawa2012a_m05,15,0,16,1.46,4.11,,,,,,,No,No
ishikawa2012a_hl,ishikawa2012a_m06,15,0,16,0.69,,,,,,,0.32,No,No
ishikawa2012a_ml,ishikawa2012a_m01,15,0,18,284.14,831.58,,,,,,,No,No
ishikawa2012a_ml,ishikawa2012a_m02,15,0,18,0.71,1.59,,,,,,,No,No
ishikawa2012a_ml,ishikawa2012a_m03,15,0,18,9.68,,,95,6.78,12.57,,,No,No
ishikawa2012a_ml,ishikawa2012a_m04,15,0,18,3.9,3.47,,,,,,,No,No
ishikawa2012a_ml,ishikawa2012a_m05,15,0,18,4.42,3.82,,,,,,,No,No
ishikawa2012a_ml,ishikawa2012a_m06,15,0,18,0.49,,,,,,,0.46,No,No
ishikawa2012a_ll,ishikawa2012a_m01,15,0,9,277.32,,,,,,,0.34,No,No
ishikawa2012a_ll,ishikawa2012a_m02,15,0,9,1.37,,,95,0.23,2.52,,,No,No
ishikawa2012a_ll,ishikawa2012a_m03,15,0,9,6.43,,,,,,,0.0083,No,No
ishikawa2012a_ll,ishikawa2012a_m04,15,0,9,2.49,3.62,,,,,,,No,No
ishikawa2012a_ll,ishikawa2012a_m05,15,0,9,6.87,4.17,,,,,,,No,No
ishikawa2012a_ll,ishikawa2012a_m06,15,0,9,2.19,,,,,,,0.047,No,No
ishikawa2012a_con,ishikawa2012a_m01,15,0,15,-147.46,911.86,,,,,,,No,No
ishikawa2012a_con,ishikawa2012a_m02,15,0,15,-0.13,,,,,,,0.74,No,No
ishikawa2012a_con,ishikawa2012a_m03,15,0,15,1.62,,,,,,,0.24,No,No
ishikawa2012a_con,ishikawa2012a_m04,15,0,15,0.99,,,95,-0.97,2.95,,,No,No
ishikawa2012a_con,ishikawa2012a_m05,15,0,15,-1.41,4.14,,,,,,,No,No
ishikawa2012a_con,ishikawa2012a_m06,15,0,15,0.97,,,,,,,0.21,No,No
zielinski2018a_fail,zielinski2018a_m01,10,0,18,16.67,11.97,,,,,,,No,No
zielinski2018a_fail,zielinski2018a_m02,10,0,18,438.63,,,,,,,0.03,No,No
zielinski2018a_fail,zielinski2018a_m03,10,0,18,0.98,,,,,,,0.0079,No,No
zielinski2018a_fail,zielinski2018a_m04,10,0,18,43.74,24.17,,,,,,,No,No
zielinski2018a_fail,zielinski2018a_m05,10,0,18,5.22,,,,,,,1e-4,No,No
zielinski2018a_rir3,zielinski2018a_m01,10,0,18,13.16,,,95,7.05,19.28,,,No,No
zielinski2018a_rir3,zielinski2018a_m02,10,0,18,142.86,,,95,-219.61,505.34,,,No,No
zielinski2018a_rir3,zielinski2018a_m03,10,0,18,0.37,,,,,,,0.26,No,No
zielinski2018a_rir3,zielinski2018a_m04,10,0,18,33.93,25.02,,,,,,,No,No
zielinski2018a_rir3,zielinski2018a_m05,10,0,18,0.6,3.43,,,,,,,No,No
ekberg2013a_fail,ekberg2013a_m01,14,0,12,29.92,34.14,,,,,,,No,No
ekberg2013a_fail,ekberg2013a_m02,14,0,12,-1.18,,,,,,,0.24,No,No
ekberg2013a_rir3,ekberg2013a_m01,14,0,20,38.64,,,,,,,1e-4,No,No
ekberg2013a_rir3,ekberg2013a_m02,14,0,20,2.38,3.61,,,,,,,No,No
ekberg2013a_con,ekberg2013a_m01,14,0,15,0.38,,,,,,,0.97,No,No
ekberg2013a_con,ekberg2013a_m02,14,0,15,-2.48,3.34,,,,,,,No,No
delacroix2022a_hl,delacroix2022a_m01,17,0,15,35.39,20.54,,,,,,,No,No
delacroix2022a_hl,delacroix2022a_m02,17,0,15,2.14,,,,,,,6.9e-4,No,No
delacroix2022a_hl,delacroix2022a_m03,17,0,15,1.46,,,,,,,0.13,No,No
delacroix2022a_ml,delacroix2022a_m01,17,0,16,32.74,,,95,20.19,45.29,,,No,No
delacroix2022a_ml,delacroix2022a_m02,17,0,16,1.09,,,,,,,0.039,No,No
