measure_id,study_id,domain,measurement,device,device_value,muscle_assessed,muscle_region,implement,pattern,contraction_type,rm_value,measurement_units
ishikawa2012a_m01,ishikawa2012a,Hypertrophy,Vastus Lateralis Type II Fiber Area,Muscle Biopsy,Type II Muscle Fiber Cross-Sectional Area,VL,,,,,,micrometers squared
ishikawa2012a_m02,ishikawa2012a,Hypertrophy,Medial Gastrocnemius Thickness,B-mode US,Muscle Thickness,GMH,Proximal,,,,,mm
ishikawa2012a_m03,ishikawa2012a,Strength,Barbell Biceps Curl 1RM,,,,,Barbell,Elbow Flexion,Isotonic,1,kg
ishikawa2012a_m04,ishikawa2012a,Hypertrophy,Elbow Extensor Thickness,B-mode US,Muscle Thickness,"TBLH,TBLAT,TBMED",Middle,,,,,mm
ishikawa2012a_m05,ishikawa2012a,Absolute Muscular Endurance,Leg Extension Repetitions at a Fixed Load,,,,,Machine,Knee Extension,Isotonic,,repetitions
ishikawa2012a_m06,ishikawa2012a,Circumference,Mid-Thigh Circumference,Tape Measure,Circumference,"RF,VL,VI,VM",Middle,,,,,cm
zielinski2018a_m01,zielinski2018a,Strength,Parallel Back Squat 1RM,,,,,Barbell,Back Squat,Isotonic,1,kg
zielinski2018a_m02,zielinski2018a,Hypertrophy,Vastus Lateralis Type II Fiber Area,Muscle Biopsy,Type II Muscle Fiber Cross-Sectional Area,VL,,,,,,micrometers squared
zielinski2018a_m03,zielinski2018a,Hypertrophy,Medial Gastrocnemius Thickness,B-mode US,Muscle Thickness,GMH,Proximal,,,,,mm
zielinski2018a_m04,zielinski2018a,Strength,Leg Press 1RM,,,,,Machine,Leg Press,Isotonic,1,kg
zielinski2018a_m05,zielinski2018a,Absolute Muscular Endurance,Leg Extension Repetitions at a Fixed Load,,,,,Machine,Knee Extension,Isotonic,,repetitions
lindqvist2026a_m01,lindqvist2026a,Strength,Flat Barbell Press 1RM,,,,,Barbell,Bench Press,Isotonic,1,kg
lindqvist2026a_m02,lindqvist2026a,Hypertrophy,Vastus Lateralis Type II Fiber Area,Muscle Biopsy,Type II Muscle Fiber Cross-Sectional Area,VL,,,,,,micrometers squared
lindqvist2026a_m03,lindqvist2026a,Hypertrophy,Pectoralis Major Thickness,B-mode US,Muscle Thickness,PM,Middle,,,,,mm
lindqvist2026a_m04,lindqvist2026a,Hypertrophy,Elbow Flexor Thickness,B-mode US,Muscle Thickness,"BBLH,BBSH,BRA",Middle,,,,,mm
jovanovic2026a_m01,jovanovic2026a,Hypertrophy,Vastus Lateralis Cross-Sectional Area,MRI,Muscle Cross-Sectional Area,VL,Middle,,,,,cm²
jovanovic2026a_m02,jovanovic2026a,Strength,Barbell Biceps Curl 1RM,,,,,Barbell,Elbow Flexion,Isotonic,1,kg
ekberg2013a_m01,ekberg2013a,Strength,Leg Press 1RM,,,,,Machine,Leg Press,Isotonic,1,kg
ekberg2013a_m02,ekberg2013a,Hypertrophy,Elbow Extensor Thickness,B-mode US,Muscle Thickness,"TBLH,TBLAT,TBMED",Middle,,,,,mm
iversen2023a_m01,iversen2023a,Hypertrophy,Vastus Lateralis Type II Fiber Area,Muscle Biopsy,Type II Muscle Fiber Cross-Sectional Area,VL,,,,,,micrometers squared
iversen2023a_m02,iversen2023a,Strength,Parallel Back Squat 1RM,,,,,Barbell,Back Squat,Isotonic,1,kg
iversen2023a_m03,iversen2023a,Hypertrophy,Vastus Lateralis Cross-Sectional Area,MRI,Muscle Cross-Sectional Area,VL,Middle,,,,,cm²
iversen2023a_m04,iversen2023a,Hypertrophy,Elbow Flexor Thickness,B-mode US,Muscle Thickness,"BBLH,BBSH,BRA",Middle,,,,,mm
iversen2023a_m05,iversen2023a,Absolute Muscular Endurance,Leg Extension Repetitions at a Fixed Load,,,,,Machine,Knee Extension,Isotonic,,repetitions
castellano2013a_m01,castellano2013a,Strength,Leg Press 1RM,,,,,Machine,Leg Press,Isotonic,1,kg
castellano2013a_m02,castellano2013a,Hypertrophy,Elbow Extensor Thickness,B-mode US,Muscle Thickness,"TBLH,TBLAT,TBMED",Middle,,,,,mm
castellano2013a_m03,castellano2013a,Hypertrophy,Vastus Lateralis Cross-Sectional Area,MRI,Muscle Cross-Sectional Area,VL,Middle,,,,,cm²
castellano2013a_m04,castellano2013a,Hypertrophy,Elbow Flexor Thickness,B-mode US,Muscle Thickness,"BBLH,BBSH,BRA",Middle,,,,,mm
castellano2013a_m05,castellano2013a,Circumference,Mid-Thigh Circumference,Tape Measure,Circumference,"RF,VL,VI,VM",Middle,,,,,cm
oduya2021a_m01,oduya2021a,Hypertrophy,Vastus Lateralis Type II Fiber Area,Muscle Biopsy,Type II Muscle Fiber Cross-Sectional Area,VL,,,,,,micrometers squared
oduya2021a_m02,oduya2021a,Strength,Leg Press 1RM,,,,,Machine,Leg Press,Isotonic,1,kg
oduya2021a_m03,oduya2021a,Strength,Parallel Back Squat 1RM,,,,,Barbell,Back Squat,Isotonic,1,kg
oduya2021a_m04,oduya2021a,Strength,Knee Extension Isokinetic Peak Torque,,,,,Isokinetic Dynamometer,Knee Extension,Isokinetic,,N·m
oduya2021a_m05,oduya2021a,Body Composition,Whole-Body Lean Mass,DXA,Lean Mass,,,,,,,kg
oduya2021a_m06,oduya2021a,Body Composition,Whole-Body Fat Mass,DXA,Fat Mass,,,,,,,kg
oduya2021a_m07,oduya2021a,Absolute Muscular Endurance,Flat Barbell Press Repetitions at a Fixed Load,,,,,Barbell,Bench Press,Isotonic,,repetitions
abernathy2017a_m01,abernathy2017a,Strength,Leg Press 1RM,,,,,Machine,Leg Press,Isotonic,1,kg
abernathy2017a_m02,abernathy2017a,Hypertrophy,Medial Gastrocnemius Thickness,B-mode US,Muscle Thickness,GMH,Proximal,,,,,mm
duarte2015a_m01,duarte2015a,Hypertrophy,Elbow Extensor Thickness,B-mode US,Muscle Thickness,"TBLH,TBLAT,TBMED",Middle,,,,,mm
duarte2015a_m02,duarte2015a,Hypertrophy,Elbow Flexor Thickness,B-mode US,Muscle Thickness,"BBLH,BBSH,BRA",Middle,,,,,mm
duarte2015a_m03,duarte2015a,Strength,Parallel Back Squat 1RM,,,,,Barbell,Back Squat,Isotonic,1,kg
delacroix2022a_m01,delacroix2022a,Strength,Knee Extension Isokinetic Peak Torque,,,,,Isokinetic Dynamometer,Knee Extension,Isokinetic,,N·m
delacroix2022a_m02,delacroix2022a,Hypertrophy,Pectoralis Major Thickness,B-mode US,Muscle Thickness,PM,Middle,,,,,mm
delacroix2022a_m03,delacroix2022a,Body Composition,Whole-Body Lean Mass,DXA,Lean Mass,,,,,,,kg
uribe2020a_m01,uribe2020a,Hypertrophy,Elbow Flexor Thickness,B-mode US,Muscle Thickness,"BBLH,BBSH,BRA",Middle,,,,,mm
uribe2020a_m02,uribe2020a,Hypertrophy,Vastus Lateralis Type II Fiber Area,Muscle Biopsy,Type II Muscle Fiber Cross-Sectional Area,VL,,,,,,micrometers squared
uribe2020a_m03,uribe2020a,Strength,Leg Press 1RM,,,,,Machine,Leg Press,Isotonic,1,kg
uribe2020a_m04,uribe2020a,Hypertrophy,Pectoralis Major Thickness,B-mode US,Muscle Thickness,PM,Middle,,,,,mm
uribe2020a_m05,uribe2020a,Body Composition,Whole-Body Lean Mass,DXA,Lean Mass,,,,,,,kg
uribe2020a_m06,uribe2020a,Body Composition,Whole-Body Fat Mass,DXA,Fat Mass,,,,,,,kg
hartley2008a_m01,hartley2008a,Strength,Leg Press 1RM,,,,,Machine,Leg Press,Isotonic,1,kg
hartley2008a_m02,hartley2008a,Hypertrophy,Elbow Flexor Thickness,B-mode US,Muscle Thickness,"BBLH,BBSH,BRA",Middle,,,,,mm
hartley2008a_m03,hartley2008a,Hypertrophy,Elbow Extensor Thickness,B-mode US,Muscle Thickness,"TBLH,TBLAT,TBMED",Middle,,,,,mm
hartley2008a_m04,hartley2008a,Body Composition,Whole-Body Lean Mass,DXA,Lean Mass,,,,,,,kg
hartley2008a_m05,hartley2008a,Body Composition,Whole-Body Fat Mass,DXA,Fat Mass,,,,,,,kg
takeda2020a_m01,takeda2020a,Hypertrophy,Vastus Lateralis Type II Fiber Area,Muscle Biopsy,Type II Muscle Fiber Cross-Sectional Area,VL,,,,,,micrometers squared
takeda2020a_m02,takeda2020a,Strength,Knee Extension Isokinetic Peak Torque,,,,,Isokinetic Dynamometer,Knee Extension,Isokinetic,,N·m
takeda2020a_m03,takeda2020a,Strength,Parallel Back Squat 1RM,,,,,Barbell,Back Squat,Isotonic,1,kg
ishikawa2013a_m01,ishikawa2013a,Hypertrophy,Quadriceps Femoris Thickness,B-mode US,Muscle Thickness,"RF,VI",Middle,,,,,mm
