arm_id,measure_id,week,n,mean,sd,se
ishikawa2012a_hl,ishikawa2012a_m01,0,16,6677,1401.1,
ishikawa2012a_hl,ishikawa2012a_m01,15,16,7153,1451.5,
ishikawa2012a_hl,ishikawa2012a_m02,0,16,20,2.69,
ishikawa2012a_hl,ishikawa2012a_m02,15,16,21.1,2.84,
ishikawa2012a_hl,ishikawa2012a_m03,0,16,43.4,8.4,
ishikawa2012a_hl,ishikawa2012a_m03,15,16,52.5,9.13,
ishikawa2012a_hl,ishikawa2012a_m04,0,16,42.7,6.74,
ishikawa2012a_hl,ishikawa2012a_m04,15,16,45.2,7.34,
ishikawa2012a_hl,ishikawa2012a_m05,0,16,19.6,6.55,
ishikawa2012a_hl,ishikawa2012a_m05,15,16,21.1,7.01,
ishikawa2012a_hl,ishikawa2012a_m06,0,16,53.8,4.68,
ishikawa2012a_hl,ishikawa2012a_m06,15,16,54.5,4.7,
ishikawa2012a_ml,ishikawa2012a_m01,0,18,6184,1565.1,
ishikawa2012a_ml,ishikawa2012a_m01,15,18,6468,1717.4,
ishikawa2012a_ml,ishikawa2012a_m02,0,18,19.3,2.21,
ishikawa2012a_ml,ishikawa2012a_m02,15,18,20,2.37,
ishikawa2012a_ml,ishikawa2012a_m03,0,18,40.8,8.26,
ishikawa2012a_ml,ishikawa2012a_m03,15,18,50.5,8.25,
ishikawa2012a_ml,ishikawa2012a_m04,0,18,43.7,5.62,
ishikawa2012a_ml,ishikawa2012a_m04,15,18,47.6,5.61,
ishikawa2012a_ml,ishikawa2012a_m05,0,18,21.3,5.31,
ishikawa2012a_ml,ishikawa2012a_m05,15,18,25.8,5.48,
ishikawa2012a_ml,ishikawa2012a_m06,0,18,57.7,4.95,
ishikawa2012a_ml,ishikawa2012a_m06,15,18,58.2,4.98,
ishikawa2012a_ll,ishikawa2012a_m01,0,9,6230,1385.2,
ishikawa2012a_ll,ishikawa2012a_m01,15,9,6507,1476.9,
ishikawa2012a_ll,ishikawa2012a_m02,0,9,19.3,2.7,
ishikawa2012a_ll,ishikawa2012a_m02,15,9,20.7,2.96,
ishikawa2012a_ll,ishikawa2012a_m03,0,9,42.5,8.49,
ishikawa2012a_ll,ishikawa2012a_m03,15,9,48.9,9.05,
ishikawa2012a_ll,ishikawa2012a_m04,0,9,41.7,5.55,
ishikawa2012a_ll,ishikawa2012a_m04,15,9,44.2,5.41,
