study_id,first_author,year,doi,title,randomized,design,nutrition_controlled,control_condition,bfr_condition,concurrent_training,uncontrolled_training,standardized_training,washout_period,reduced_training_weeks,no_training_weeks,supplementation
ishikawa2012a,Ishikawa,2012,10.5555/toy.ishikawa2012a,Effects of low- versus high-load resistance training on muscle strength and hypertrophy: a 14-week trial in untrained men,Yes,Parallel Group,No,Yes,No,Yes,No,No,No,No,No,No
zielinski2018a,Zielinski,2018,10.5555/toy.zielinski2018a,Training to failure versus stopping short: effects on hypertrophy and strength: a 9-week trial in untrained men and women,Yes,Parallel Group + Within-Participant Unilateral,No,No,No,No,No,Yes,No,No,No,Yes
lindqvist2026a,Lindqvist,2026,10.5555/toy.lindqvist2026a,Dose-response effects of weekly set volume on muscle growth and strength: a 6-week trial in untrained women,Yes,Parallel Group,Unclear,No,No,No,No,No,No,No,No,No
jovanovic2026a,Jovanovic,2026,10.5555/toy.jovanovic2026a,Training to failure versus stopping short: effects on hypertrophy and strength: a 8-week trial in resistance-trained men,Yes,Parallel Group,No,No,No,No,No,No,No,No,No,No
ekberg2013a,Ekberg,2013,10.5555/toy.ekberg2013a,Training to failure versus stopping short: effects on hypertrophy and strength: a 13-week trial in resistance-trained men and women,Yes,Parallel Group,No,Yes,No,No,No,No,No,Yes,No,Yes
iversen2023a,Iversen,2023,10.5555/toy.iversen2023a,Dose-response effects of weekly set volume on muscle growth and strength: a 12-week trial in untrained men and women,Unclear,Parallel Group,Unclear,Yes,No,No,No,No,No,No,No,No
castellano2013a,Castellano,2013,10.5555/toy.castellano2013a,Training to failure versus stopping short: effects on hypertrophy and strength: a 10-week trial in untrained men and women,Yes,Parallel Group,No,No,No,Yes,No,No,No,No,No,No
oduya2021a,Oduya,2021,10.5555/toy.oduya2021a,Dose-response effects of weekly set volume on muscle growth and strength: a 11-week trial in resistance-trained men,Yes,Parallel Group,No,Yes,No,No,Yes,No,No,No,No,No
abernathy2017a,Abernathy,2017,10.5555/toy.abernathy2017a,Dose-response effects of weekly set volume on muscle growth and strength: a 13-week trial in resistance-trained men,Yes,Parallel Group,Unclear,No,No,No,No,No,No,No,Yes,No
duarte2015a,Duarte,2015,10.5555/toy.duarte2015a,Dose-response effects of weekly set volume on muscle growth and strength: a 14-week trial in untrained women,Yes,Parallel Group,Unclear,Yes,No,No,No,No,No,Yes,No,Yes
delacroix2022a,Delacroix,2022,10.5555/toy.delacroix2022a,Effects of low- versus high-load resistance training on muscle strength and hypertrophy: a 15-week trial in untrained men and women,Yes,Parallel Group,No,No,No,No,No,No,No,No,Yes,Yes
uribe2020a,Uribe,2020,10.5555/toy.uribe2020a,Effects of low- versus high-load resistance training on muscle strength and hypertrophy: a 12-week trial in older men,Yes,Parallel Group,No,No,No,No,No,No,No,No,No,No
hartley2008a,Hartley,2008,10.5555/toy.hartley2008a,Training to failure versus stopping short: effects on hypertrophy and strength: a 16-week trial in untrained women,Yes,Parallel Group,Unclear,No,No,Yes,No,No,No,No,No,No
takeda2020a,Takeda,2020,10.5555/toy.takeda2020a,Dose-response effects of weekly set volume on muscle growth and strength: a 9-week trial in resistance-trained men,Yes,Parallel Group,Unclear,No,No,No,Yes,No,No,No,No,No
ishikawa2013a,Ishikawa,2013,10.5555/toy.ishikawa2013a,Volume-equated training frequency and muscular adaptations: a 12-week trial in untrained women,Yes,Parallel Group,Unclear,No,No,No,No,No,No,No,No,No
takeda2012a,Takeda,2012,10.5555/toy.takeda2012a,Training to failure versus stopping short: effects on hypertrophy and strength: a 13-week trial in untrained women,Yes,Parallel Group,Unclear,Yes,No,No,No,No,No,No,No,No
delacroix2015a,Delacroix,2015,10.5555/toy.delacroix2015a,Effects of low- versus high-load resistance training on muscle strength and hypertrophy: a 15-week trial in resistance-trained men and women,Unclear,Parallel Group,No,Yes,No,No,No,No,No,No,No,No
varga2020a,Varga,2020,10.5555/toy.varga2020a,Dose-response effects of weekly set volume on muscle growth and strength: a 8-week trial in resistance-trained women,Yes,Parallel Group,Unclear,Yes,No,No,No,Yes,No,Yes,No,No
delacroix2021a,Delacroix,2021,10.5555/toy.delacroix2021a,Effects of low- versus high-load resistance training on muscle strength and hypertrophy: a 10-week trial in resistance-trained women,Yes,Parallel Group + Within-Participant Unilateral,No,No,No,No,No,Yes,No,No,No,Yes
uribe2005a,Uribe,2005,10.5555/toy.uribe2005a,Volume-equated training frequency and muscular adaptations: a 8-week trial in resistance-trained men,Yes,Parallel Group,Unclear,No,No,No,No,No,No,No,No,No
takeda2007a,Takeda,2007,10.5555/toy.takeda2007a,Dose-response effects of weekly set volume on muscle growth and strength: a 15-week trial in resistance-trained men,Yes,Parallel Group,Unclear,Yes,No,No,No,No,No,No,No,Yes
haugen2001a,Haugen,2001,10.5555/toy.haugen2001a,Volume-equated training frequency and muscular adaptations: a 11-week trial in resistance-trained women,No,Parallel Group,Unclear,No,No,No,No,No,No,No,No,No
haugen2001b,Haugen,2001,10.5555/toy.haugen2001b,Dose-response effects of weekly set volume on muscle growth and strength: a 7-week trial in untrained men and women,Yes,Parallel Group,Unclear,No,No,No,No,No,No,No,No,Yes
yilmaz2005a,Yilmaz,2005,10.5555/toy.yilmaz2005a,Volume-equated training frequency and muscular adaptations: a 10-week trial in untrained men,Yes,Parallel Group,Unclear,No,No,No,No,No,No,Yes,Yes,No
ekberg2024a,Ekberg,2024,10.5555/toy.ekberg2024a,Effects of low- versus high-load resistance training on muscle strength and hypertrophy: a 12-week trial in untrained women,Yes,Parallel Group,No,Yes,No,No,No,No,No,No,Yes,No
petrakis2007a,Petrakis,2007,10.5555/toy.petrakis2007a,Dose-response effects of weekly set volume on muscle growth and strength: a 7-week trial in resistance-trained men and women,Yes,Parallel Group + Within-Participant Unilateral,No,No,No,No,No,Yes,No,Yes,Yes,Yes
ekberg2010a,Ekberg,2010,10.5555/toy.ekberg2010a,Effects of low- versus high-load resistance training on muscle strength and hypertrophy: a 10-week trial in resistance-trained men and women,Yes,Parallel Group,No,No,No,No,No,No,No,No,No,No
laurent2024a,Laurent,2024,10.5555/toy.laurent2024a,Training to failure versus stopping short: effects on hypertrophy and strength: a 10-week trial in untrained men,Yes,Parallel Group,No,No,No,No,No,No,No,No,No,Yes
yilmaz1999a,Yilmaz,1999,10.5555/toy.yilmaz1999a,Dose-response effects of weekly set volume on muscle growth and strength: a 12-week trial in resistance-trained women,Yes,Parallel Group,No,No,No,No,No,No,No,No,No,No
